n,pH,loss_target,d_star,d_actual
10,0.3,1.0,2.0,2.0
10,0.3,0.1,4.0,3.9375
20,0.3,1.0,3.0,2.741455078125
20,0.3,0.2,4.0,4.0
30,0.3,1.0,3.0,4.0
30,0.3,0.3,4.0,5.0
40,0.3,1.0,3.0,3.0
40,0.3,0.4,4.0,5.0
50,0.3,1.0,3.0,5.0
50,0.3,0.5,4.0,5.0
60,0.3,1.0,4.0,4.0
60,0.3,0.6,4.0,4.0
70,0.3,1.0,4.0,5.0
70,0.3,0.7000000000000001,4.0,5.0
80,0.3,1.0,4.0,5.0
80,0.3,0.8,4.0,5.0
90,0.3,1.0,4.0,5.0
90,0.3,0.9,4.0,5.0
100,0.3,1.0,4.0,4.0
100,0.3,1.0,4.0,4.0
110,0.3,1.0,4.0,4.0
110,0.3,1.1,4.0,4.0
120,0.3,1.0,4.0,5.0
120,0.3,1.2,4.0,5.0
130,0.3,1.0,4.0,4.0
130,0.3,1.3,4.0,4.0
140,0.3,1.0,4.0,4.0
140,0.3,1.4000000000000001,4.0,4.0
150,0.3,1.0,4.0,4.0
150,0.3,1.5,4.0,4.0
10,0.7,1.0,4.0,2.0
10,0.7,0.1,10.0,6.75
20,0.7,1.0,6.0,4.0
20,0.7,0.2,10.0,8.3125
30,0.7,1.0,7.0,5.0020751953125
30,0.7,0.3,10.0,9.012967109680176
40,0.7,1.0,7.0,6.0622100830078125
40,0.7,0.4,10.0,9.978515625
50,0.7,1.0,8.0,7.0341796875
50,0.7,0.5,10.0,9.031982421875
60,0.7,1.0,9.0,8.0
60,0.7,0.6,10.0,9.031494140625
70,0.7,1.0,9.0,8.65869140625
70,0.7,0.7000000000000001,10.0,10.0
80,0.7,1.0,9.0,10.0
80,0.7,0.8,10.0,9.932861328125
90,0.7,1.0,10.0,10.0
90,0.7,0.9,10.0,10.0
100,0.7,1.0,10.0,9.991241455078125
100,0.7,1.0,10.0,9.402099609375
110,0.7,1.0,10.0,10.0
110,0.7,1.1,10.0,10.0
120,0.7,1.0,11.0,10.0
120,0.7,1.2,10.0,10.0
130,0.7,1.0,11.0,10.89697265625
130,0.7,1.3,10.0,9.0703125
140,0.7,1.0,11.0,10.859375
140,0.7,1.4000000000000001,10.0,9.7734375
150,0.7,1.0,11.0,10.998344421386719
150,0.7,1.5,10.0,10.0
